tanggal,EMI_LorenzModif,EMI_Segitiga,EMI_Persegi,EMI_Sinus,EMI_Gauss,EMI_Noise,EMI_Lorentz,EMI_Ampalt
4/13/2024,35,32,36,41,50,40,45,31
4/14/2024,33,31,36,44,48,41,46,34
4/15/2024,33,37,35,44,45,38,44,33
4/16/2024,40,25,33,40,42,38,39,30
4/17/2024,32,29,29,34,42,43,36,27
4/18/2024,22,25,21,24,45,44,40,27
4/19/2024,36,31,24,18,45,41,41,20
4/20/2024,32,29,29,36,44,38,43,13
4/21/2024,36,27,30,42,45,44,44,26
4/22/2024,29,25,27,44,46,49,46,34
4/23/2024,32,31,26,43,46,51,46,36
4/24/2024,34,34,30,38,44,53,45,35
4/25/2024,34,29,32,27,42,53,45,30
4/26/2024,34,27,32,29,40,52,44,24
4/27/2024,28,34,29,16,37,48,42,30
4/28/2024,25,34,27,33,40,43,42,36
4/29/2024,23,30,28,44,46,43,46,41
4/30/2024,33,24,30,48,50,44,50,44
5/1/2024,31,36,32,49,51,40,53,45
5/2/2024,31,32,35,46,49,41,52,42
5/3/2024,37,36,34,41,45,45,50,38
5/4/2024,23,30,31,35,41,45,46,33
5/5/2024,39,37,27,32,40,40,41,31
5/6/2024,31,36,29,37,42,37,38,34
5/7/2024,32,37,32,43,45,42,41,38
5/8/2024,39,37,33,46,48,43,46,42
5/9/2024,31,42,32,46,48,43,48,43
5/10/2024,42,31,31,42,46,47,47,41
5/11/2024,36,37,29,33,43,49,42,37
5/12/2024,39,41,29,20,39,50,31,30
5/13/2024,25,32,27,24,36,49,35,28
5/14/2024,40,35,26,36,38,46,43,36
5/15/2024,30,24,42,47,41,43,47,41
5/16/2024,38,23,43,51,48,45,46,45
5/17/2024,36,34,42,52,49,47,41,46
5/18/2024,47,42,42,50,43,46,28,44
5/19/2024,41,39,42,44,34,43,41,38
5/20/2024,35,35,43,34,40,42,43,30
5/21/2024,41,28,43,21,39,44,39,29
5/22/2024,44,24,42,34,35,42,31,37
5/23/2024,37,34,40,44,39,35,39,44
5/24/2024,43,42,38,50,45,34,44,47
5/25/2024,36,29,40,52,47,39,46,48
5/26/2024,43,46,43,50,47,37,44,45
5/27/2024,39,42,44,44,45,34,42,38
5/28/2024,33,26,42,28,46,33,42,24
5/29/2024,39,32,42,37,48,29,43,36
5/30/2024,40,29,43,41,49,31,44,39
5/31/2024,40,43,42,44,47,39,45,40
6/1/2024,40,45,42,47,40,42,46,41
6/2/2024,37,47,43,49,33,42,45,41
6/3/2024,41,45,45,48,32,39,44,39
6/4/2024,39,46,46,44,25,37,42,33
6/5/2024,41,41,45,37,30,36,41,29
6/6/2024,36,44,46,34,34,36,41,27
6/7/2024,26,38,49,32,36,33,40,26
6/8/2024,37,44,50,31,40,30,38,31
6/9/2024,47,44,48,40,45,36,42,36
6/10/2024,43,47,42,44,47,39,47,38
6/11/2024,51,47,35,43,47,40,47,37
6/12/2024,43,44,34,35,44,39,45,36
6/13/2024,48,41,39,28,42,36,42,37
6/14/2024,49,42,41,36,41,30,42,34
6/15/2024,53,43,45,38,37,26,40,27
6/16/2024,31,47,49,40,34,34,35,30
6/17/2024,51,43,51,43,38,38,37,40
6/18/2024,49,44,50,45,41,38,45,44
6/19/2024,55,39,46,44,42,34,47,44
6/20/2024,46,35,44,40,37,35,46,42
6/21/2024,50,39,47,33,28,38,43,38
6/22/2024,54,20,46,23,38,27,38,35
6/23/2024,50,37,48,22,36,30,32,36
6/24/2024,45,40,50,27,30,26,27,37
6/25/2024,54,26,51,30,34,29,32,37
6/26/2024,50,31,53,34,39,34,38,37
6/27/2024,51,46,53,36,40,35,41,37
6/28/2024,47,23,54,34,39,35,41,35
6/29/2024,39,31,54,31,35,34,38,31
6/30/2024,43,26,55,27,31,33,36,27
7/1/2024,40,40,55,17,33,34,33,27
7/2/2024,43,27,55,15,36,34,31,22
7/3/2024,49,31,55,27,36,34,28,23
7/4/2024,45,33,54,29,36,31,19,33
7/5/2024,47,47,54,28,32,28,8,36
7/6/2024,39,44,53,26,31,27,12,35
7/7/2024,43,39,53,27,33,25,15,35
7/8/2024,38,34,53,28,31,18,23,36
7/9/2024,40,37,53,22,29,28,29,36
7/10/2024,43,39,52,20,33,34,33,34
7/11/2024,40,44,50,32,37,32,34,27
7/12/2024,30,33,49,36,40,30,28,8
7/13/2024,30,46,47,37,41,34,23,30
7/14/2024,47,43,46,32,42,36,32,31
7/15/2024,41,41,44,21,42,37,37,29
7/16/2024,40,35,44,32,41,35,38,26
7/17/2024,52,39,45,35,40,29,36,30
7/18/2024,50,41,46,35,38,14,31,35
7/19/2024,43,46,45,36,37,5,22,37
7/20/2024,49,45,45,36,35,29,18,36
7/21/2024,48,43,44,36,36,33,12,34
7/22/2024,44,41,44,35,38,32,21,31
7/23/2024,53,40,44,32,39,28,30,31
7/24/2024,53,26,43,30,39,27,34,33
7/25/2024,40,24,41,31,38,28,36,35
7/26/2024,43,27,38,32,38,24,35,37
7/27/2024,44,29,35,31,37,18,34,39
7/28/2024,51,24,36,30,37,27,36,40
7/29/2024,43,45,36,31,36,33,38,39
7/30/2024,48,41,34,33,13,39,35,30
7/31/2024,42,34,36,34,26,39,27,29
8/1/2024,38,25,34,39,29,38,27,25
8/2/2024,47,29,24,38,29,35,30,24
8/3/2024,45,34,26,29,29,30,29,24
8/4/2024,40,30,32,30,31,30,29,25
8/5/2024,44,27,29,40,32,33,29,28
8/6/2024,41,22,20,42,34,35,27,30
8/7/2024,41,20,23,40,35,35,27,31
8/8/2024,34,33,33,38,36,36,30,30
8/9/2024,31,28,35,38,35,37,32,27
8/10/2024,36,34,34,38,35,37,33,26
8/11/2024,35,45,31,39,37,35,32,27
8/12/2024,44,46,29,38,40,30,28,28
8/13/2024,40,44,28,37,41,26,21,28
8/14/2024,40,46,26,39,40,30,11,29
8/15/2024,39,43,30,38,35,33,11,30
8/16/2024,28,38,36,32,21,36,22,30
8/17/2024,33,39,38,28,33,36,28,28
8/18/2024,26,38,39,38,36,34,27,27
8/19/2024,39,37,36,41,35,31,23,30
8/20/2024,45,42,32,40,30,30,22,33
8/21/2024,43,41,22,38,23,29,24,36
8/22/2024,42,36,12,40,25,23,27,37
8/23/2024,36,34,20,44,33,28,29,36
8/24/2024,41,39,19,45,36,34,30,33
8/25/2024,32,32,16,44,37,35,32,27
8/26/2024,34,19,20,41,36,34,33,25
8/27/2024,39,24,18,35,35,34,31,25
8/28/2024,36,41,22,39,30,35,28,26
8/29/2024,43,37,25,43,23,35,25,34
8/30/2024,28,19,24,44,22,32,27,38
8/31/2024,25,26,24,43,22,26,31,39
9/1/2024,43,24,25,33,21,31,34,35
9/2/2024,44,26,28,29,15,32,36,25
9/3/2024,30,36,31,41,25,31,36,16
9/4/2024,26,39,32,42,31,31,34,19
9/5/2024,41,29,17,37,22,24,32,31
9/6/2024,41,26,29,37,30,30,33,39
9/7/2024,38,24,34,38,32,33,32,45
9/8/2024,37,33,35,38,32,34,28,47
9/9/2024,34,33,34,37,28,34,20,45
9/10/2024,41,30,28,34,24,32,22,41
9/11/2024,46,22,29,29,23,29,24,33
9/12/2024,45,29,34,23,19,23,24,24
9/13/2024,47,35,35,18,18,20,28,23
9/14/2024,45,41,32,27,26,26,29,29
9/15/2024,32,37,27,34,27,30,32,35
9/16/2024,39,38,23,35,25,29,35,38
9/17/2024,30,35,22,32,28,24,35,37
9/18/2024,37,29,24,30,31,14,35,31
9/19/2024,37,29,25,33,31,21,34,19
9/20/2024,31,34,28,33,29,23,31,24
9/21/2024,31,36,29,33,31,20,20,25
9/22/2024,32,27,26,36,33,5,29,28
9/23/2024,28,26,29,39,34,16,34,34
9/24/2024,25,21,34,41,33,22,34,36
9/25/2024,24,28,33,40,34,24,32,34
9/26/2024,28,32,27,37,34,27,29,31
9/27/2024,34,26,27,34,33,29,26,29
9/28/2024,30,24,38,32,27,27,20,24
9/29/2024,21,31,41,32,24,24,9,24
9/30/2024,26,29,40,31,28,28,25,30
10/1/2024,25,32,38,35,25,31,32,32
10/2/2024,34,26,36,39,19,32,35,31
10/3/2024,28,29,37,40,24,31,36,28
10/4/2024,31,31,38,37,22,30,34,30
10/5/2024,24,30,39,31,17,28,31,31
