,Tweet,Sentiment
24,uu ite contains the subject matter of setting up an electronic transaction system to regulate cybercrime johnny plate,Negative
25,wednesday february wib finished female prison staff bandung strong virtual public relations follow up report on evaluation results lhe held electronic bus command system spbe,Positive
26,bandung women s detention center  strong public relations environment  regional office  minister of law  human rights  west java  follow up on reporting evaluation results  lhe organizes an electronic bus command system spbe,Positive
27,actively following up on reporting evaluation results lhe holding an electronic bus command system spbe strong public relations environment regional office of kemenkumham west java online zoom meeting regional office of kemenkumham west java,Positive
28,february wib bandung class i community hall as active as follow up on reporting evaluation results holding strong electronic bus command system public relations zoom,Positive
29,follow up on reporting the results of the evaluation of the implementation of an electronic bus order system spbe strong pr,Positive
30,ciamis prison leads to the glorification of public relations evaluation results lhe organizes electronic bus command system spbe environs regional office of kemenkumham west kemenkumham jabar r andika dwi prasetya,Neutral
31,spbe team public relations team majalengka prison actively follow up on reporting evaluation results holding a strong electronic bus command system environmental public relations regional office kemenkumham jabar online,Positive
32,implementing an electronic bus command system spbe strong public relations like online active head of unit technical implementation of the environment of the regional office of the ministry of law and human rights,Positive
33,spbe team   public relations bapas class ii subang actively reports on evaluation results lhe organizes an electronic bus command system spbe is strong pr environment kanwil west java,Positive
34,following up on reporting the results of the evaluation lhe held an electronic bus command system spbe strong public relations kemenkumham jabar r andika dwi prasetya,Positive
35,purwakarta prison zoom meeting evaluation results holding electronic bus command system spbe kanwil environmental technical implementation unit minister of law and human rights kemenkumham jabar r andika dwi prasetya,Neutral
36,hello friends  museum cipher bsre bsre electronic certification body in the form of a technical unit for the state code cyber agency whose job is to carry out electronic certification to support the command system,Neutral
37,the main thing is that the electronic transaction system has to be maintained to regulate cybercrime,Positive
38,minister of communication and information uu ite contains the subject matter of holding an electronic transaction system regulates cybercrime harmonization of the criminal code cc law,Negative
39,uu ite contains the main material of organizing the system   electronic transactions   regulates the cybercrime of the minister of communication and informatics in accordance with the article paragraph letter r of the uu of the criminal code uu ite revokes real behavior,Negative
40,the real minister uu ite fits the main material of the maintenance of the electronic transaction system of cybercrime,Positive
41,design change uu ite minister of communication and information harmonization of penal law law uu ite contain basic materials organize electronic transaction system regulate cybercrime,Neutral
42,minister of communication and informatics johnny g plate to contain the basic material of organizing an electronic transaction system to regulate cybercrime,Neutral
43,order to organize an electronic bash command system spbe scope of the karanganyar regency government orderly work administration asn support employee results tpp professional objective applied socialization,Positive
44,diskominfo palkom spbe spbe brief form electronic bus command system organizes orders for information technology benefits see more,Positive
45,palkom spbe spbe short form electronic bus command system organizes commands for the benefits of information technology communication serving spbe,Neutral
46,coordinate the implementation of a data reporting system for electronic regional taxpayers in malang  java  indonesia,Neutral
47,the real role of success in establishing an electronic bus command system spbe data indonesia sdi you know  let s see the minister of panrb azwar anas,Positive
48,the maintenance of the electronic system at the milu level is held accountable by the public accountable  it exists as a milu of democratic integrity,Neutral
49,helni mutiarsih telkom university academics so that the treatment will be regulated by setting up an electronic system that is regulated in relation to objects that have trade bandages  etc ,Neutral
50,kpu member mochammad afifuddin was present as a resource person for the discussion on the theme of open information on the milu holding the critical role of the public on the electronic system audit stage of the milu stage simultaneously,Neutral
51,promise of cooperation  one of the forms of regional command collaboration  held an order to develop regional potential nphd  spbe electronic bus command system application,Neutral
52,cmiiw indonesia set uu check pp no  organize the pste electronic transaction system uu item article,Neutral
53,regulations for the digital space task force refer to the electronic transaction information law  the ite pp organizing an electronic transaction system,Neutral
54,the state of the indonesian national police  the tools for holding securely  orderly  the community  the indonesian national police environment  organizes an electronic bus command system  the indonesian national police environment,Positive
55,establish an electronic bus command system for the indonesian national police,Neutral
56,the implementation of p dd is in good practice  the electronic bus command system is in good practice,Positive
57,perwal socialization of the wawali electronic bus order system wawali wake up commitment,Neutral
58,the minister of communication and informatics is waiting for pp pnbp s complaint which discusses the connection between pp pbnp s complaint for carrying out administrative fines for pp concerning the implementation of an electronic transaction system  refer,Negative
59,the minister of communication and informatics application command behaved efficiently implementing the p dd behavior by implementing the spbe electronic bus command system,Neutral
60,the implementation of the p dd salvage implements the electronic bus command system spbe behavioral program wise fast program,Positive
61,the minister of communication and informatics implements p dd behavior by implementing an electronic bus command system spbelala,Neutral
62,data center information technology facilitator coordinator organizes environmental electronic bus command system for the ministry of law and human rights efforts to optimize the management of the website for the regional office of the ministry of law and human rights maluku the regional office of the ministry of law and human rights maluku madnan,Negative
63,assistance in managing the electronic system for milu,Neutral
64,the maintenance link simultaneously informs kpu of the level of secure application systems in accordance with the full requirements of electronic system maintenance,Positive
65,acts of hacking against the maintenance of electronic systems are a loss to the community  and the law is in accordance with the law,Neutral
66,electronic signature take off set order number electronic transaction system organizer,Neutral
67,gladly eca information information on the national clearing system bank indonesia sknbi infrastructure bi organizes clearing fund transfers schedule for data processing of zhila electronic money,Positive
68,the value of readiness to implement an electronic system to implement cyber security  business processes  management  identification  protection  detection  response  such as connecting,Neutral
69,uu no change uu ite no uu no consumer protection set order no electronic transaction amp system,Neutral
70,uu pdp issue set order number for electronic transaction system pp pste,Neutral
71,friends  please refer to the appearance of the web bus electronic system as part of the building maintenance process to replace the imb,Neutral
72,informatics communications service  sleman regency  received a visit from the ministry of communication and informatics  sandbox  bulungan regency  east kalimantan  thursday  a visit to a mature level  an electronic bus command system was held  spbe,Positive
73,the regional office of the ministry of law and human rights of south sulawesi conducts monitoring evaluation of holding a national public service information system sippn electronic bus command system spbe technical implementation unit upt liberti sitinjak,Neutral
74,the administrative division is active on the evaluation results of the implementation of an electronic bus command system spbe kemenkumham ntt regional head ntt marciana jone,Negative
75,active class iiia bangkinang prison team aim to visit get to know the electronic bus organizing system related to managing packed money application forms,Negative
76,the results of the evaluation value of the implementation of an electronic bus command system spbe regional office upt information data center pusdatin ministry of law and human rights regional office of the ministry of law and human rights sumbar r andika dwi prasetya,Negative
77,information technology data center facilitator coordinator maintenance of the electronic bus command system environment minister of law human rights conduct website construction,Negative
78,lirung class iii lirung regional office of the ministry of law and human rights north sulawesi the results of the evaluation value held an electronic bus command system spbe regional office technical implementation unit upt,Neutral
79,hello  cool friends  the manado police department is active in delivering the results of the evaluation of the implementation of the spbe electronic bus command system,Positive
80,muara teweh class iib community institution muara teweh virtual results of scores held electronic bus command system spbe assessor team wednesday,Neutral
81,the maintenance of the electronic bus command system  the environment of the minister of human rights  law  conduct  thousands of pages of work,Neutral
82,active zoom meeting on the evaluation results of holding an electronic bus command system spbe regional office regional office technical implementation unit upt,Negative
83,immigration office kotamobagu regional office of the ministry of law and human rights north sulawesi is active on the results of the evaluation score by implementing the spbe electronic bus order system,Negative
84,the implementation of the application of the electronic bus command system for class iiia women s prisons in the field of the regional office of the ministry of law and human rights of north sumatra is strong in understanding evaluations  holding virtual spbe evaluations,Positive
85,kendari class iii women s prison is actively evaluating the results of implementing an electronic bus command system spbe virtual wednesday,Negative
86,hello  langkat  wednesday  november  class iia narcotics prison  langkat zoom  the results of the evaluation of the implementation of spbe  the electronic bus command system  the upt regional office,Neutral
87,evaluation of the implementation of the electronic bus command system area office technical implementation unit as active as the morality room floor of the detention center in harbor deli wib s d completed,Negative
88,results of the evaluation value of implementing an electronic bus command system spbe regional office regional office technical implementation unit upt active direct virtual wib safe room orderly,Positive
89,jayapura rupbasan employees evaluation results of the implementation of the spbe electronic bus value system regional office virtual technical implementation unit wednesday november,Neutral
90,regional office of the ministry of law and human rights java cilacap immigration office wednesday cilacap immigration office is active on the results of evaluation scores by implementing an electronic bus command system spbe regional office of the regional office of the technical implementation unit upt,Negative
91,zoom meeting on the evaluation results of the implementation of an electronic bus command system spbe regional office regional office technical implementation unit upt,Neutral
92,waikabubak november community hall class ii waikabubak present evaluation value results of implementing electronic bus command system spbe regional office regional office technical implementation unit upt,Neutral
93,active zoom material on the results of the assessment of the spbe electronic bus system for the regional office of the regional office of the upt indonesia technical implementation unit,Negative
94,kapuas house hold state detention center class iib kuala kapuas results of evaluation scores of electronic bus order system spbe pusdatin kemenkumham virtual zoom wednesday,Negative
95,framework for the results of the evaluation value of implementing an electronic bus command system spbe jakarta women s prison deputy head of administration subsection eagle kartini active zoom wednesday,Negative
96,wednesday lpka class ii mamuju the results of the evaluation scores held the spbe electronic bus command system,Neutral
97,actively the results of the evaluation value held an electronic bus order system spbe office upt wednesday november,Negative
98,lapas enemawira is active in evaluating the results of implementing the spbe electronic bus command system,Negative
99,kotabumi detention center kotabumi spbe evaluation head of class iib detention center kotabumi mukhlisin fardi kasubsi manages kotabumi prison active evaluation results scores implementation of spbe electronic bus command system,Negative
100,l karsinfo amlapura level framework organizes electronic bus command system spbe environment minister of law ham lpka karangasem active results of evaluation value of spbe,Negative
101,healthy friend  rusiya rupbasan  employee staff  active  evaluation results of the implementation of the spbe virtual electronic bus command system,Positive
102,sawahlunto information on the results of the evaluation value of the implementation of an electronic bus command system spbe information data center pusdatin kemenkumham wednesday lakosal bagak,Negative
103,lapas kotapinang kaur administrative prison class iii kotapinang jajar is active on the evaluation results of implementing an electronic bus command system spbe regional office upt virtual zoom application,Negative
104,fathers of class i denpasar evaluation meeting held electronic bus command system spbe online denjalak active post information technology data center center of data center kemenkumham aim evaluation,Negative
105,the baubau immigration office is active  the results of the evaluation score are implementing an electronic bus command system  spbe regional offices  technical implementation units within the scope of the regional office of the ministry of law and human rights  southeast sulawesi  operate online,Negative
106,the regional office of the ministry of law and human rights is actively working on evaluating the results of the implementation of an online complete news electronic bus order system,Negative
107,hello semeton mido singaraja november singaraja immigration actively participates in the results of the evaluation of implementing an electronic bus command system spbe regional office regional office technical implementation unit upt virtual,Negative
108,binjai social institution class iia binjai administrative staff zulmy hermawan present the evaluation results of the implementation of the electronic bus command system spbe regional office regional office technical implementation unit upt,Positive
109,implementing an electronic bus command system spbe regional office technical implementation unit upt kemenkumham banten tejo harwanto kakanwil banten,Neutral
110,singkawang prison  the results of the evaluation of the implementation of the complete spbe electronic bus command system  the regional office of the ministry of law and human rights  west kalimantan  a man of authority,Positive
111,bima city  head of the bima immigration office  regional office of the ministry of law and human rights  ntb  active staff  results of evaluation scores  holding an electronic bus command system  spbe,Negative
112,remand center zoom meeting related to the results of the evaluation value the implementation of an electronic bus command system spbe regional office upt information data center pusdatin kemenkumham,Negative
113,present actively the results of the evaluation value of implementing an electronic bus command system spbe regional office of the ministry of law and human rights maluku head of regional office of the ministry of law and human rights maluku m adnan,Negative
114,the results of the evaluation value of the implementation of an electronic bus command system spbe regional office upt information data center pusdatin kemenkumham,Negative
115,support the establishment of an electronic bus command system spbe balikpapan immigration office active evaluation results spbe team pusdatin kemenkumham ri,Negative
116,amlapura wednesday head of prison structural officials evaluation meeting organizes electronic bus governance system spbe online zoom application,Neutral
117,tuesday  november  the samarinda immigration office virtual meeting on the results of evaluation scores was held by an electronic bus order system,Neutral
118,the results of the evaluation value of the implementation of an electronic bus command system spbe regional office technical service unit upt,Neutral
119,father of class i padang is active  the results of the evaluation value are held by the electronic bus command system  spbe regional office  regional office  technical implementation unit  virtual upt  zoom application  wednesday,Negative
120,river full wednesday remand center class ii river full of enthusiasm results of evaluation scores held an electronic bus command system spbe regional office regional office technical implementation unit upt virtual,Positive
121,detention center for class iib sungai besar  full of evaluation results  held spbe electronic bus command system,Positive
122,class iib martapura prison results of evaluation scores holding an electronic bus command system spbe regional office regional office technical implementation unit virtual upt,Neutral
123,active fathers of class ii fakfak wednesday november results of evaluation scores held an electronic bus command system spbe regional office regional office technical implementation unit upt,Negative
124,kendari prison virtual socialization of the evaluation results of the implementation of the spbe electronic bus command system,Neutral
125,sarolangun kalapas sarolangun public relations team is active in zoom meeting on the results of the evaluation of the implementation of an electronic bus command system spbe regional office upt pusdatin,Negative
126,zoom agenda the evaluation results of the implementation of the electronic bus command system spbe regional office regional office technical implementation unit upt,Neutral
127,balai kotabumi employees zoom the results of the evaluation of the implementation of an electronic bus command system spbe regional office regional office technical implementation unit upt,Neutral
128,japanese command belongs to nature hook employment alert system electronic bus integration easy to organize employment alert real time data accountable,Positive
129,bssn leaking data threatens hackers increasingly rampant entrance task arrange security guidelines to organize digitization gas pol electronic system,Neutral
130,implementing the spbe e government electronic command system to administer information technology benefits orders,Neutral
131,evaluation visitation held an electronic bus command system spbe class i immigration office tpi kendari,Neutral
132,sidoarjo for the purpose of evaluating the implementation of an electronic bus command system spbe assessor team of pusdatin kanim surabaya explained the process of carrying out active electronic bus application support,Negative
133,i hope that the application will carry out an electronic system for smooth road permits  public service quality  ok ,Positive
134,head of narcotics head of pangkalpinang welcomes pusdatin team for visitation evaluation of holding electronic bus command system pr contributors lapastika tin,Neutral
135,visit the data center team  papas jambi  jambi  information technology data center team  visit the community hall class ii jambi  visit the evaluation framework  organize the spbe electronic bus command system,Negative
136,the technical audience for the value of the evaluation visitation held an electronic bus command system spbe public relations lpka class ii kendari,Neutral
137,set the minister of social control number electronic bus order system environment minister of social download,Positive
138,evaluation of spbe implementation monday rupbasan wonosari zoom technical audience as visitation value regional office upt spbe assessor team electronic bus command system,Neutral
139,national code cyber agency bssn verification of assessment results csm jasa tirta i maturity level entry scale level of implementation management value readiness to implement applied electronic system,Neutral
140,verification of the results of the csm jasa tirta i assessment maturity level entry scale level of implementation value management readiness to implement cyber secure electronic systems business business processes,Positive
141,spbe assessor team  minister of law  human rights  conduct evaluation visitation value  organize electronic bus command system  spbe regional office  technical implementation unit  jajar regional office  minister of law  ham  yogyakarta,Neutral
142,enemawira prison is active in assessing visitation evaluations by organizing spbe electronic bus command system,Negative
143,national code cyber agency bssn verification of assessment results csm jasa tirta i maturity level entry scale level of implementation management value readiness to implement electronic systems,Neutral
144,entering the implementation level of value management readiness to implement an applied electronic system,Neutral
145,the value of readiness to implement an electronic system to implement cyber security  business processes  business processes  management  identification  protection,Neutral
146,actively socializing the implementation of the spbe electronic bus command system to organize the regional office of the ministry of law and human rights in south sumatra  tuesday  harun sulianto,Negative
147,electronic system maintenance,Neutral
148,situation of healthy staff  medical personnel  content data of electronic medical records  electronic medical record management system,Positive
149,page v readiness to implement an electronic system to implement cyber security  business processes  business processes  management  identification  protection,Neutral
150,actively socializing the implementation of the spbe electronic bus command system held the regional office of the south sumatra kemenkumham tuesday,Negative
151,lpp palembang  regional office of law and human rights  sumsel  socializing the implementation of the spbe electronic bus command system,Neutral
152,palangka raya assessor team kemenkumham visitation satker hook held electronic bus command system spbe jajar kanwil kemenkumham kalimantan tuesday,Neutral
153,kalapas muara enim herdianto kaur actively socializes the spbe electronic bus command system,Negative
154,kakanwil kemenkumham central java yuspahruddin lapas slawi direction of visitation to organize electronic bus command system spbe pusdatin,Neutral
155,afternoon  the meeting was finished  the head of the technical hearing  the value of the visitation  was subject to spbe  spbe  the electronic bus command system  the order of conduct was held  the level of technology benefits,Negative
156,basic candy pupr symbg electronic system bas web is wrong as data building construction information related to building construction more info click the link below,Neutral
157,electronic bus order system implementation number environmental law minister human rights ri humas kemenkumham banten kemenkumhambanten tejoharwanto,Neutral
158,sambang class iib detention center serang behavior value evaluation held electronic bus command system spbe kemenkumhambanten tejoharwanto,Negative
159,actively aiming for a quality level  holding an electronic bus command system  the minister of law  human rights  ministry of law and human rights  tejoharwanto,Negative
160,tuesday the main unit assessor team visited the class i immigration office tpi pontianak arranged an electronic bus command system spbe active visitation review data value support evaluation held spbe pontianak immigration office,Positive
161,kemenkumham wise hook governance management spbe permenkumham number organizing electronic bus command system environmental law minister of human rights republic of indonesia,Positive
162,visitation review of data value support evaluation of holding electronic bus command system spbe pontianak national police office of the ministry of law and human rights west kalimantan  man of authority,Neutral
163,hello friends  martapura women s prison  the task of martapura women s prison is to attend an audience on the evaluation visitation value of holding an electronic bus command system spbe working environment of the regional office of the ministry of law and human rights kalsel online loo,Neutral
164,manokwari september immigration office class i non tpi manokwari visit team jakarta for evaluation visitation held spbe electronic bus command system,Neutral
165,bimtek defends e marketplace electronic trading system,Neutral
166,bima city immigration office class iii non tpi bima executes active visitation evaluation organizes spbe electronic bus command system regional office technical implementation unit,Negative
167,the direction of the visitation evaluation of the implementation of an electronic bus command system for the regional office of the ministry of law and human rights  west java,Neutral
168,regulatory regulations related to the digital world are often controversial with the public  it s wrong with permenkominfo no  to organize an electronic pse system,Positive
169,bssn technical wise formula in the field of cyber security safe guidelines in implementing electronic systems let s protect personal data,Positive
170,private pse is obliged to protect the public s personal data in accordance with the law on electronic transaction information uu ite regulates the pp order number for electronic transaction systems,Neutral
171,kominfo bssn takes control  regulates the order number  organizes the electronic transaction system,Neutral
172,support the establishment of an electronic bus command system balikpapan immigration office accept visits for spbe evaluation visits to the pusdatin team  ministry of law and human rights  republic of indonesia,Neutral
173,the assessment team for spbe pusdatin ministry of law and human rights of the republic of indonesia carries out the evaluation visitation value of establishing an electronic bus command system spbe regional office of the ministry of law and human rights maluku regional head office of the ministry of law and human rights maluku,Neutral
174,the value of the visitation evaluation of the electronic bus command system spbe jajar regional office of the ministry of law and human rights east kalimantan,Neutral
175,class iii prison  barus zoom  barus  september  class iii prison  barus  active audience  visitation  evaluation value  holding an electronic bus command system spbe environment  regional office of the minister of law  human rights  north sumatra,Negative
176,siborongborong prison actively evaluates hearings organizes an electronic bus command system spbe environs north sumatra regional office of law and human rights,Negative
177,monday september rupbasan class i field kemenkumham sumut gt gt rupbasan class i field zoom electronic bus command system value framework visitation evaluation held spbe,Neutral
178,lapas lubuk pakam regional office of the ministry of law and human rights of north sumatra is active in hearings  visitation of evaluation values  holding an electronic bus command system for the environment of the regional office of the ministry of law and human rights of north sumatra  virtual zoom,Negative
179,environment of the regional office of the ministry of law and human rights  north sumatra  virtual electronic bus command system spbe organizes command benefits information technology communication service spbe,Neutral
180,monday september ka subsi service hold staff invite active audience visitation evaluation value hold online spbe electronic bus command system balige prison regional office of kemenkumham sumut,Negative
181,lapas kotapinang class iii prison kotapinang active audience visitation value evaluation held an electronic bus command system spbe environment regional office of the minister of law of human rights north sumatra,Negative
182,ambon implementation of electronic bus command system spbe initiated digital bureaucracy spbe assessor team pusdatin ministry of law and human rights republic of indonesia implemented visitation value evaluation held spbe regional office of upt environment regional office of ministry of law and human rights embarrassed,Neutral
183,initiating a digital bureaucracy  the assessor team for the spbe pusdatin ministry of law and human rights of the republic of indonesia carried out the evaluation visitation value of holding an electronic bus command system for the regional office of the ministry of law and human rights maluku the regional office of the ministry of law and human rights maluku,Neutral
184,evaluation visitation value of holding an electronic bus command system spbe regional office of the ministry of law and human rights maluku upt ternate framework for implementing the electronic bus command system spbe regional office of the ministry of law and human rights maluku regional office of the ministry of law and human rights maluku,Neutral
185,monday  september  the head of jajarjar prison  tarutung virtual prison  is active in hearings  visitation  evaluation value  holding an electronic bus command system  spbe environment  regional office  minister of law  human rights  north sumatra,Negative
186,class iia prison pematangsiantar regional office of the ministry of law and human rights of north sumatra is active in visiting evaluation value hearings holding an electronic bus command system spbe environmental office of the minister of law of human rights north sumatra virtual,Negative
187,presentation material on data protection strategy for implementing an electronic bus command system spbe national code cyber  agency material for digitizing governance of spbe serving kominfo,Neutral
188,the order of the minister of communication and informatics johnny g plate the minister of communication and informatics is to be vigilant against the implementation of personal data management of all pse electronic system operators,Neutral
189,secure electronic system bad vulnerable to attack law pdp president s mandate regulates the form of an organizing agency to protect personal data regulates the president,Negative
190,electronic system of personal data of indonesian citizens is vulnerable to hacking uu pdp directly implements the law mandated by the president to form an organizing institution to protect personal data,Negative
191,minister of communication and information  johnny g plate pse  the private sector is obliged to guard the protection of people s personal data  according to uu ite  regulate the order number for the electronic transaction system,Neutral
192,the value of the visitation evaluation of the implementation of the electronic bus command system spbe the assessor team of the ministry of law and human rights ri rupbasan class i padang,Neutral
193,kemenkumham aceh read welcoming the head of the aceh kemenkumham regional office is active in assessing visitation evaluations of organizing an electronic bus command system spbe regional office regional office technical implementation unit upt,Negative
194,prison for kualasimpang evaluation visitation held spbe electronic bus command system,Neutral
195,the value of the visitation evaluation of the implementation of the electronic bus command system spbe regional office of the regional office of the regional office of the law and human rights of sumatra  the technical implementation unit upt complete news,Positive
196,basic set president number electronic bus command system spbe bkipm gorontalo employees active socialization of electronic bus command system spbe how to organize benefit orders,Negative
197,article uu ite tapping press state code pp administers the electronic transaction system the responsibility of the ministry of communication and information according to the saving function,Neutral
198,kakanwil kemenkumham sulbar faisol ali mamuju women s prison is active in carrying out evaluations of the spbe electronic bus command system,Negative
199,maintenance of the electronic bus order system alternate title maintenance of the electronic bus order system responsible for the security of personal data of officers,Positive
200,kakanwil kemenkumham sulbar faisol ali lpp mamuju is actively conducting evaluations of the electronic bus command system spbe virtual upt regional office,Negative
201,prison for women has been active in carrying out evaluations of the spbe electronic bus order system,Negative
202,kakanwil kemenkumham sulbar faisol ali mamuju women s prison is actively carrying out evaluations of organizing an electronic bus command system,Negative
203,kakanwil kemenkumham sulbar faisol ali lpp mamuju is actively conducting evaluations of the spbe electronic bus command system upt regional office,Negative
204,strong electronic system maintenance,Positive
205,kakanwil kemenkumham west sulawesi faisol ali prison for women has continued to actively carry out the evaluation of the spbe electronic bus command system,Negative
206,cyber security achieves proper electronic system maintenance  try to monitor and be responsible for electronic system maintenance,Positive
207,read pp article implementing electronic system obligatory to keep data confidential article minister authority oversight of implementing electronic system article ministerial figures pp kemenkominfo lazy to provide data ends gin,Negative
208,the level of the electronic bus service system spbe environment minister of law ham socialization spbe minister administers information technology benefits orders,Neutral
209,assist the evaluation staff in establishing an electronic bus command system spbe regional office regional office technical implementation unit upt virtual zoom active direct tuesday,Negative
210,mamuju women s prison is actively carrying out evaluations  implementing an electronic bus command system  spbe regional office  regional office  technical implementation unit  virtual upt,Negative
211,active virtual order active zoom meeting evaluation discussion holding electronic bus command system spbe pusdatin kemenkumham r i,Negative
212,discussion of evaluation value instruments spbe regional office of upt muara bulian following up on information link zoom kemenkumham jambi regional office evaluation hook of organizing spbe electronic bus command system,Neutral
213,muara labuh class iib detention center evaluates the implementation of an electronic bus command system spbe technical implementation unit upt attends head of subsidy management of muara labuh prison staff,Negative
214,review the regulatory trends of the world s state owned pse electronic systems,Neutral
215,kakanwil kemenkumham sumsel harun sulianto appreciates muara enim prison who has a strong understanding of evaluation of implementing an electronic bus command system spbe virtually friday at harun sulianto,Positive
216,kakanwil kemenkumham sumsel harun sulianto appreciates prebumulih prison who has a strong understanding of evaluation of holding an electronic bus order system spbe friday at harun sulianto,Positive
217,lapas class iia kota metro evaluation of the maintenance of the electronic bus command system,Neutral
218,the head of the prison led a meeting to evaluate the maintenance of the electronic bus command system at the metro prison wednesday,Neutral
219,muara enim prison kemenkumham sumsel electronic bus command system spbe e government organizes information technology information communication benefit order harun sulianto,Neutral
220,kakanwil kemenkumham sumsel harun sulianto appreciates muara enim prison who has a strong understanding of the evaluation of the implementation of the spbe electronic bus command system virtually friday,Positive
221,prison prabumulih kemenkumham sumsel electronic bus command system spbe e government organizes orders information technology benefits communication harun sulianto,Neutral
222,regional office of the ministry of law and human rights of south sumatra  subdivision of public relations  information technology bureaucratic reform  strong understanding of evaluation  organizing an electronic bus command system spbe harun sulianto,Positive
223,release of head of regional office of kemenkumham sumsel harun sulianto appreciates muara enim prison who has a strong understanding of evaluation of holding an electronic bus command system virtually friday,Positive
224,release from the head of the regional office of the ministry of law and human rights of south sumatra  harun sulianto  appreciates the strong prabumulih prison who understands the evaluation of the implementation of the electronic bus command system spbe friday,Positive
225,spbe e government electronic bus command system organizes orders for the benefits of information and communication technology,Neutral
226,muara enim prison  muara enim strong understands the evaluation of implementing an electronic bus command system spbe virtual friday,Positive
227,the implementation of the e government electronic bus command system is proof of the level of efficiency of public services  it s a pity that the implementation of e government indonesia is maximal,Negative
228,release of head of regional office of kemenkumham sumsel harun sulianto appreciates muara enim prison who has a strong understanding of the evaluation of implementing spbe electronic bus command system virtually friday,Positive
229,prison prabumulih kemenkumham sumsel electronic bus command system spbe e government organizes information communication technology benefit orders,Neutral
230,kumham news the head of the regional office of the ministry of law and human rights of south sumatra  harun sulianto  appreciates muara enim prison  which is strong in understanding the evaluation of the implementation of the spbe electronic bus command system virtually friday,Positive
231,kumham news the head of the regional office of the ministry of law and human rights of south sumatra harun sulianto appreciates the strong prabumulih prison who understands the evaluation of the implementation of the electronic bus command system spbe friday,Positive
232,muara enim prison kemenkumham sumsel electronic bus command system spbe e government organizes information communication technology benefit orders,Neutral
233,the regional office of the ministry of law and human rights for central sulawesi is very active in understanding the evaluation of the implementation of the spbe electronic bus command system the regional office for upt pusdatin budi argap situngkir,Negative
234,access blocking pse ministry of communication and information efforts to protect personal data blocking issue of electronic system management,Neutral
235,luwuk class ii prison luwuk is active  strong  understands evaluation  organizes an electronic bus command system  upt regional office  data center  information technology  pusdatin  minister of law  ham ri,Positive
236,hello rupbasan class i jakarta center active strong understanding evaluation of holding an electronic bus command system spbe virtual friday,Positive
237,sawahlunto  info on the zoom meeting  you have to have a strong understanding of the evaluation of the electronic bus command system spbe kanwil upt,Positive
238,organize an electronic bus command system spbe women s prison palembang regional office of the ministry of law and human rights sumsel zoom strong understand the process of holding an evaluation of the pusdatin spbe,Positive
239,immigration office kotamobagu kanwil kemenkumham north sulawesi is very active in understanding the evaluation of the implementation of the spbe electronic bus order system,Negative
